Epoch,Train Loss
1,0.2082059653820815
2,0.2243612121652674
3,0.2460157805018955
1,0.2082059653820815
2,0.2243612121652674
3,0.2460157805018955
4,0.22676396921828942
5,0.23851508012524358
6,0.25186764421286406
7,0.21920211447609794
8,0.25989044264510824
9,0.20164382457733154
10,0.24094067955458606
11,0.23078586657842
12,0.22254887333622686
13,0.2663978570037418
14,0.22365005976623958
15,0.22949975177093787
16,0.2792747804412135
17,0.2534925529250392
18,0.2324259391537419
19,0.24792706414505286
